player_height_cm,player_weight_kg,position,team,age,games_played,minutes_per_game,points_per_game,assists_per_game,rebounds_per_game,steals_per_game,blocks_per_game,turnovers_per_game,label
199,114,SG,Team_18,31,7,29.3,33.6,11.0,1.3,2.48,2.28,3.5,Rotation
201,93,SF,Team_26,22,47,29.3,16.2,2.0,13.1,2.23,0.07,4.42,Rotation
216,96,PF,Team_9,39,31,2.2,29.2,4.4,8.3,1.64,2.1,3.17,Rotation
202,76,SF,Team_29,33,28,37.0,32.6,7.8,6.2,2.85,0.16,3.63,Starter
190,78,SF,Team_1,39,4,27.6,6.4,11.7,4.8,3.0,0.05,4.77,Rotation
189,112,PF,Team_10,30,48,36.3,12.1,10.4,14.4,1.77,2.19,0.34,Rotation
218,104,SF,Team_28,30,12,37.2,32.3,8.9,13.8,0.29,1.28,4.86,Starter
177,127,PF,Team_28,23,41,13.6,19.5,11.3,13.0,0.72,1.62,0.03,Rotation
211,81,PG,Team_14,28,9,20.6,11.3,11.8,9.6,2.32,1.25,2.65,Rotation
181,90,PF,Team_21,20,25,27.7,18.2,10.8,3.5,1.28,1.22,1.22,Rotation
195,72,C,Team_14,26,25,32.3,25.6,2.2,12.9,1.86,0.84,0.54,Starter
183,84,PF,Team_7,23,22,36.9,21.6,8.6,13.6,0.11,2.86,1.15,Starter
213,90,PF,Team_12,26,43,37.0,32.7,4.8,4.9,2.97,0.16,4.59,Starter
192,79,C,Team_26,31,75,12.5,33.7,9.8,9.5,1.27,1.94,1.81,Rotation
178,102,PF,Team_22,31,38,25.9,24.9,0.7,0.0,2.33,1.38,3.47,Rotation
199,115,SG,Team_22,33,42,5.6,23.2,9.9,11.8,2.25,1.59,0.87,Rotation
188,128,SF,Team_6,33,51,30.8,0.5,3.5,10.7,1.43,0.38,3.25,Rotation
183,121,SF,Team_13,29,57,6.1,27.4,9.2,3.0,2.45,0.33,3.34,Rotation
200,75,PG,Team_8,28,75,33.8,17.5,2.0,3.7,1.0,0.27,0.41,Rotation
176,71,PG,Team_23,24,31,37.2,30.6,0.6,7.2,0.17,0.44,1.7,Starter
194,98,C,Team_21,23,17,3.3,32.7,7.8,9.9,1.13,2.53,4.82,Rotation
202,124,SG,Team_26,23,41,19.5,12.9,5.3,11.0,1.76,0.27,2.48,Rotation
181,109,PG,Team_2,26,1,10.1,31.7,10.2,0.3,0.15,0.74,4.42,Rotation
218,102,SF,Team_10,19,59,17.9,23.1,11.0,0.6,2.02,2.22,1.72,Rotation
182,73,PG,Team_6,20,32,11.2,15.0,4.9,8.7,2.89,2.64,3.57,Rotation
209,128,PG,Team_16,35,45,2.5,1.8,7.4,3.3,0.67,0.12,1.81,Bench
188,73,PF,Team_10,25,80,15.0,26.0,3.4,6.5,0.15,2.45,2.66,Rotation
191,98,PG,Team_15,27,58,7.8,31.3,3.1,0.3,0.25,2.03,5.0,Rotation
210,106,C,Team_21,22,56,20.9,20.4,10.3,7.4,0.17,0.62,2.15,Rotation
214,129,SF,Team_20,25,61,25.9,14.1,1.7,0.2,2.71,0.6,1.24,Rotation
178,129,C,Team_10,28,62,15.4,15.8,5.3,14.8,0.55,2.25,3.34,Rotation
176,89,C,Team_11,34,72,7.7,24.8,5.4,2.3,0.93,1.49,0.11,Rotation
180,110,SG,Team_21,28,30,7.3,6.9,7.0,12.1,2.78,1.42,1.62,Bench
216,92,PF,Team_25,25,38,0.1,7.2,7.6,5.4,0.21,2.64,3.54,Bench
178,114,C,Team_28,20,21,26.7,12.1,5.2,3.8,1.83,2.28,2.0,Rotation
203,87,SG,Team_29,20,16,9.6,1.0,5.3,2.0,0.78,0.4,3.99,Bench
192,118,SF,Team_2,26,2,36.9,23.4,7.5,13.1,2.81,1.43,2.55,Starter
200,94,SF,Team_22,32,31,28.4,15.7,8.4,4.8,0.01,0.18,0.51,Rotation
218,70,SG,Team_27,36,32,11.2,31.3,9.5,11.1,1.33,2.59,3.99,Rotation
208,123,C,Team_25,19,63,6.0,22.6,8.2,1.7,2.81,1.5,4.81,Rotation
184,84,C,Team_28,35,9,23.7,24.7,0.1,14.7,1.86,0.35,0.36,Rotation
210,103,PF,Team_10,35,4,32.9,23.5,2.8,8.7,0.83,2.04,4.9,Starter
188,117,PF,Team_29,23,67,22.2,14.6,1.6,11.9,2.13,1.23,1.5,Rotation
205,89,SF,Team_21,34,37,0.4,32.6,9.7,0.1,1.91,1.13,2.85,Rotation
189,123,PF,Team_12,25,40,29.9,32.0,5.8,10.1,0.92,0.1,0.39,Rotation
182,106,SG,Team_11,33,72,36.6,16.9,4.6,13.5,2.93,0.55,4.1,Rotation
188,96,SF,Team_22,37,60,1.8,27.3,9.0,7.8,2.64,2.68,2.2,Rotation
197,91,C,Team_15,39,14,30.7,34.5,0.9,12.6,2.19,0.24,2.14,Starter
214,120,SF,Team_26,20,51,27.3,11.6,8.4,7.8,1.58,2.7,4.7,Rotation
195,74,PG,Team_28,34,7,15.1,21.9,6.3,14.6,0.78,1.84,1.96,Rotation
190,103,SF,Team_4,27,55,24.1,19.9,5.1,2.0,1.06,0.45,3.49,Rotation
219,108,PF,Team_5,38,29,6.0,18.9,7.9,13.9,1.4,2.09,4.75,Rotation
192,72,SG,Team_24,36,73,27.4,32.7,0.3,8.8,0.03,0.55,4.7,Rotation
198,86,C,Team_28,28,77,22.1,4.4,1.2,13.4,1.82,0.54,4.11,Rotation
200,93,C,Team_1,38,33,3.3,18.1,4.8,1.9,0.16,1.94,4.67,Rotation
199,93,PF,Team_1,39,58,33.0,0.9,1.1,13.7,1.3,2.95,1.96,Rotation
219,72,PF,Team_10,22,55,4.9,10.8,5.8,7.4,2.0,1.16,3.03,Rotation
215,114,PF,Team_4,20,12,16.7,23.6,7.1,6.9,1.33,0.35,2.33,Rotation
203,76,PG,Team_13,32,50,5.0,27.3,7.7,8.5,1.04,2.8,2.49,Rotation
189,94,SG,Team_14,19,58,24.6,29.9,2.8,13.1,0.68,0.57,3.54,Rotation
219,125,PG,Team_26,26,61,28.0,2.7,9.2,12.5,0.16,2.95,0.25,Rotation
175,72,PF,Team_19,29,28,36.0,6.5,1.1,1.9,0.97,1.56,4.42,Rotation
199,84,SG,Team_5,19,61,9.6,14.1,11.1,0.2,1.7,2.68,4.76,Rotation
181,98,PF,Team_11,23,6,13.9,13.3,1.6,7.7,0.85,0.74,1.63,Rotation
183,119,SG,Team_26,31,43,14.7,8.9,5.2,14.9,2.15,2.36,2.12,Bench
198,98,C,Team_8,35,5,3.7,32.8,0.5,7.6,1.27,2.54,4.61,Rotation
175,79,PG,Team_1,28,61,30.7,18.7,5.8,2.2,1.29,0.46,1.28,Rotation
218,101,PF,Team_5,25,67,3.1,23.0,11.1,6.5,0.92,0.81,4.55,Rotation
182,92,PF,Team_30,31,77,12.9,26.2,2.6,5.5,2.26,0.57,4.13,Rotation
198,108,SF,Team_21,39,69,7.2,19.0,10.9,14.3,1.03,2.54,4.7,Rotation
185,78,C,Team_18,22,16,25.2,29.2,6.1,14.2,0.99,2.51,1.09,Rotation
191,106,PF,Team_13,39,48,34.4,34.5,1.3,1.1,2.37,1.33,3.69,Starter
182,121,PG,Team_5,31,23,28.4,13.7,9.3,3.5,1.1,2.46,1.46,Rotation
209,109,C,Team_24,19,76,29.4,22.5,5.2,6.9,0.01,2.8,3.92,Rotation
209,83,PF,Team_26,29,11,3.0,11.1,5.8,8.5,1.45,2.23,3.98,Rotation
207,73,PG,Team_7,39,56,28.1,2.4,7.4,2.8,0.38,0.41,0.56,Rotation
179,89,SF,Team_12,27,28,2.4,0.9,10.0,8.8,2.93,2.46,0.25,Bench
216,97,SF,Team_2,31,61,18.4,8.1,4.9,3.1,2.83,0.04,1.96,Bench
213,83,PG,Team_13,29,77,26.3,5.7,9.0,6.3,2.69,0.67,4.15,Rotation
215,113,C,Team_14,26,26,9.7,25.3,1.9,7.9,2.62,1.1,0.94,Rotation
202,103,PG,Team_6,25,4,25.9,16.2,0.6,14.6,2.71,0.13,2.87,Rotation
181,82,PG,Team_16,38,39,33.5,18.9,0.6,1.0,2.14,0.14,0.47,Rotation
183,100,SF,Team_10,33,46,33.4,2.9,0.5,13.9,0.13,0.18,0.61,Rotation
182,102,SF,Team_29,33,8,7.3,0.7,6.3,2.0,2.71,2.37,3.18,Bench
186,121,SF,Team_27,39,15,10.4,15.2,4.7,1.5,0.46,0.3,3.51,Rotation
208,108,PF,Team_11,30,12,25.3,8.9,9.4,4.4,0.72,1.39,1.24,Rotation
207,97,PF,Team_1,35,53,32.0,21.8,0.0,8.5,2.52,2.27,3.49,Starter
197,94,SG,Team_15,24,14,17.3,17.9,8.1,6.2,1.88,2.76,0.61,Rotation
198,101,PF,Team_16,31,24,35.0,29.0,4.5,7.8,1.22,2.22,2.66,Starter
211,78,C,Team_10,34,15,21.8,29.3,5.6,11.7,2.45,1.81,2.06,Rotation
209,97,C,Team_10,19,43,10.0,18.8,1.6,12.5,1.04,0.79,2.06,Rotation
218,127,SF,Team_3,31,46,0.8,31.7,9.2,14.4,1.24,2.21,0.23,Rotation
214,100,PG,Team_11,25,32,30.7,32.6,10.4,13.9,0.05,0.11,0.72,Starter
196,86,SF,Team_11,31,25,3.5,8.6,0.4,2.9,2.26,2.43,4.37,Bench
201,122,PG,Team_16,25,39,3.0,34.2,4.1,10.7,0.53,0.44,4.87,Rotation
209,92,SF,Team_6,26,70,29.5,34.5,5.0,11.2,0.54,1.78,1.01,Rotation
175,82,SF,Team_30,36,44,1.2,2.3,10.3,7.2,0.17,2.53,3.95,Bench
209,124,C,Team_9,35,80,32.0,0.1,9.5,13.3,1.87,2.65,4.82,Rotation
211,79,PG,Team_1,34,42,22.8,2.1,6.6,11.4,0.88,1.6,2.16,Rotation
188,85,SG,Team_28,35,71,24.2,12.2,2.2,6.0,0.76,1.08,3.85,Rotation
177,75,SG,Team_6,26,22,35.6,28.3,6.6,6.3,0.97,2.18,3.1,Starter
175,117,SF,Team_18,25,46,32.9,17.7,5.3,5.6,1.7,2.74,1.13,Rotation
179,80,SF,Team_25,36,43,2.9,10.4,10.8,7.6,2.86,0.15,3.03,Rotation
200,127,C,Team_13,22,81,32.4,1.9,3.2,11.0,2.71,1.21,3.27,Rotation
188,121,PG,Team_2,20,41,25.4,13.9,9.5,4.8,0.08,1.02,4.84,Rotation
213,72,SF,Team_28,34,11,12.0,1.3,6.8,3.4,0.91,1.62,0.64,Bench
201,97,SG,Team_19,36,35,32.4,6.0,0.4,0.5,1.17,1.23,4.22,Rotation
183,110,PG,Team_28,26,78,0.9,30.8,3.0,12.0,0.02,0.2,1.97,Rotation
189,84,SF,Team_2,32,81,31.8,26.7,1.6,5.4,2.81,0.38,4.24,Starter
189,129,PG,Team_27,36,12,23.6,34.9,5.6,11.3,1.47,0.0,0.79,Rotation
200,82,C,Team_4,37,80,9.9,31.3,9.5,1.7,1.74,2.59,1.96,Rotation
216,111,SG,Team_4,22,64,0.2,30.0,7.0,8.0,0.53,2.5,3.85,Rotation
187,121,PG,Team_10,32,26,19.8,6.1,3.9,6.0,0.99,1.81,1.55,Bench
206,125,SG,Team_17,20,19,16.0,22.7,8.7,7.1,2.21,0.92,1.66,Rotation
213,114,SF,Team_24,35,17,32.8,21.0,7.4,13.9,0.03,1.4,4.73,Starter
206,86,PF,Team_16,24,63,29.9,32.1,0.8,1.0,0.45,1.99,0.62,Rotation
178,76,PG,Team_21,26,8,22.4,27.3,1.3,6.3,0.13,2.3,2.64,Rotation
204,97,SG,Team_28,34,73,5.7,27.1,1.2,12.4,1.33,0.97,2.81,Rotation
211,107,PG,Team_8,39,24,27.6,11.4,3.8,9.3,0.53,1.04,2.62,Rotation
197,82,SF,Team_29,19,0,22.6,4.4,6.9,14.7,1.47,2.76,2.28,Rotation
213,129,SF,Team_6,36,58,0.9,12.9,11.2,11.2,2.16,0.69,3.65,Rotation
219,86,SG,Team_30,21,35,28.9,7.3,8.0,1.4,0.84,1.97,4.83,Rotation
189,84,C,Team_2,36,17,31.6,25.5,8.5,5.7,1.14,2.78,0.61,Starter
217,105,PG,Team_23,28,46,29.4,16.1,1.2,4.9,0.25,1.96,1.51,Rotation
203,97,PG,Team_26,20,78,6.7,8.1,1.3,7.4,2.12,0.89,1.98,Bench
210,84,SF,Team_15,37,32,19.1,23.0,1.7,9.3,1.34,0.88,2.29,Rotation
187,115,PG,Team_25,29,21,20.0,2.4,7.0,3.8,1.61,1.95,4.3,Bench
206,122,SG,Team_23,37,64,35.5,32.1,8.9,9.4,0.9,0.95,3.55,Starter
181,80,PF,Team_11,21,10,35.2,20.2,9.5,4.0,1.17,2.25,4.71,Starter
196,125,SF,Team_21,28,25,2.4,16.1,2.5,1.9,0.46,2.91,1.81,Rotation
202,100,PF,Team_16,34,69,38.0,8.7,8.7,7.7,0.11,2.33,2.14,Rotation
176,73,PG,Team_4,21,62,29.9,19.2,3.9,7.3,1.88,2.29,1.74,Rotation
216,104,C,Team_11,37,77,14.3,10.1,6.7,6.1,0.16,0.79,0.49,Rotation
219,103,SG,Team_14,38,37,28.2,13.8,6.1,8.0,1.61,2.11,2.41,Rotation
180,121,PG,Team_8,39,48,14.3,31.1,0.9,7.5,0.15,2.24,2.97,Rotation
202,96,SG,Team_6,25,16,35.6,6.8,10.1,8.8,2.23,2.55,2.4,Rotation
202,79,PG,Team_29,35,56,14.4,12.2,8.8,14.5,0.17,2.33,4.13,Rotation
218,99,PG,Team_21,26,13,29.1,23.0,8.1,10.6,2.85,1.13,1.51,Rotation
218,114,PG,Team_23,21,7,5.9,25.4,4.1,13.0,1.37,1.29,4.51,Rotation
194,89,SF,Team_27,25,55,32.4,4.0,11.9,7.5,0.8,2.8,0.93,Rotation
204,98,PF,Team_19,28,22,23.6,32.8,0.8,10.4,0.48,1.17,3.29,Rotation
185,127,C,Team_25,37,43,30.7,0.9,3.6,1.0,1.48,1.34,2.29,Rotation
202,122,PF,Team_4,33,65,15.9,2.3,1.6,12.2,1.78,0.17,2.54,Bench
199,98,PF,Team_28,33,2,13.2,26.7,2.8,14.2,0.15,2.22,1.86,Rotation
213,92,SG,Team_4,23,52,20.2,27.0,5.4,14.6,2.8,1.01,0.85,Rotation
207,126,SF,Team_24,21,12,14.8,23.3,7.4,2.8,1.18,0.4,0.93,Rotation
175,119,SF,Team_6,21,68,19.5,18.3,1.2,14.5,2.37,2.8,0.56,Rotation
201,90,PG,Team_30,22,81,16.4,10.1,7.0,8.1,1.07,1.41,1.1,Rotation
187,117,PF,Team_11,33,0,7.5,29.4,9.3,12.8,1.24,0.78,0.09,Rotation
215,112,C,Team_1,34,20,37.1,24.5,11.0,11.2,0.18,0.88,0.28,Starter
177,79,SG,Team_2,23,55,0.6,33.9,2.5,13.6,1.12,2.74,1.87,Rotation
213,110,SF,Team_9,39,1,35.2,15.9,10.7,9.2,0.8,1.67,0.02,Rotation
180,81,PG,Team_16,26,30,31.4,16.5,10.5,4.9,2.35,1.68,4.49,Rotation
182,99,C,Team_6,28,12,16.0,27.7,3.4,11.4,0.64,0.29,4.32,Rotation
201,120,PF,Team_23,39,13,12.2,34.8,8.2,4.3,2.89,0.93,3.63,Rotation
183,102,C,Team_27,20,75,6.3,31.4,8.3,4.0,2.19,1.82,4.39,Rotation
211,87,SF,Team_9,32,56,5.1,10.4,11.4,2.6,1.72,0.42,4.63,Rotation
207,83,SG,Team_19,23,12,20.9,33.4,2.8,1.2,1.3,1.75,1.74,Rotation
216,91,PF,Team_5,25,13,4.0,6.9,1.1,12.1,1.94,0.46,2.01,Bench
218,90,SG,Team_21,29,26,18.1,14.8,6.7,4.5,2.88,1.51,4.65,Rotation
198,70,C,Team_10,21,69,31.0,31.0,3.1,6.0,2.96,1.31,2.77,Starter
189,118,C,Team_30,30,59,28.8,11.0,2.8,11.6,0.09,0.78,3.18,Rotation
206,112,PG,Team_7,32,69,5.0,12.3,11.1,0.5,1.59,1.23,4.3,Rotation
206,121,PF,Team_29,19,14,36.5,34.8,8.7,5.0,1.46,2.22,4.96,Starter
198,129,C,Team_2,34,55,10.9,15.8,8.0,13.8,2.55,0.93,2.98,Rotation
215,84,SF,Team_20,33,61,26.8,33.2,11.4,3.0,2.61,1.2,4.29,Rotation
186,105,SF,Team_27,19,12,11.4,9.6,0.8,1.3,1.93,1.84,4.52,Bench
213,116,SG,Team_4,31,6,23.5,17.5,7.0,14.6,1.62,2.43,4.89,Rotation
176,123,SF,Team_28,33,20,21.8,13.4,5.8,10.1,0.14,0.98,1.13,Rotation
177,91,C,Team_8,35,13,6.8,19.7,3.6,12.3,2.5,0.56,2.46,Rotation
211,101,SF,Team_26,27,2,24.8,31.4,7.0,2.4,0.31,2.93,2.01,Rotation
191,127,PF,Team_3,23,62,12.4,34.7,9.6,0.2,2.27,0.05,0.03,Rotation
176,115,SG,Team_2,30,42,23.2,17.5,6.7,8.4,1.21,1.79,0.69,Rotation
176,123,PF,Team_9,35,11,20.6,6.1,2.1,9.9,1.62,1.19,0.38,Rotation
202,102,C,Team_28,29,54,32.0,1.8,6.8,3.4,0.48,0.02,3.5,Rotation
197,127,C,Team_11,29,58,8.1,5.6,2.4,0.3,0.19,1.41,4.84,Bench
211,110,SF,Team_4,26,19,5.8,26.1,1.8,14.5,2.61,1.84,1.24,Rotation
206,128,PG,Team_9,33,68,32.5,20.8,6.6,5.5,0.42,2.43,4.34,Starter
207,108,PG,Team_6,20,44,16.9,26.2,1.3,10.8,0.6,1.01,4.63,Rotation
175,92,C,Team_1,28,54,29.7,33.4,4.5,7.1,0.1,2.75,1.97,Rotation
193,112,C,Team_30,39,58,36.5,24.7,7.8,3.9,0.96,2.95,0.81,Starter
176,124,SG,Team_27,32,74,20.7,27.2,7.0,14.3,1.04,1.82,4.74,Rotation
218,71,C,Team_3,23,59,11.4,15.0,5.8,8.3,1.22,2.23,4.87,Rotation
200,71,C,Team_7,35,60,30.2,17.9,2.9,5.1,1.69,1.42,4.74,Rotation
206,107,SG,Team_9,36,41,35.4,28.8,3.6,11.0,2.47,2.0,0.44,Starter
180,124,PF,Team_8,37,43,9.3,22.4,2.6,9.3,1.77,1.62,0.09,Rotation
206,120,PF,Team_28,25,5,26.2,18.7,6.3,10.6,2.05,1.16,1.98,Rotation
178,98,SG,Team_21,36,68,29.7,7.7,10.7,12.5,1.71,1.76,4.12,Rotation
185,121,SG,Team_28,30,21,1.0,21.1,10.1,2.4,2.48,1.18,2.67,Rotation
191,115,PF,Team_13,33,64,22.5,10.2,9.6,0.9,1.32,0.6,2.06,Rotation
212,129,PF,Team_24,32,19,24.1,20.7,3.4,6.9,0.97,2.74,3.27,Rotation
198,72,PF,Team_18,28,46,24.2,16.2,5.7,0.3,1.74,1.22,3.86,Rotation
179,108,PF,Team_19,35,47,3.2,3.6,4.7,3.1,1.23,0.16,1.88,Bench
208,76,SF,Team_24,19,23,0.8,30.0,6.3,2.5,1.39,2.85,0.41,Rotation
180,105,SG,Team_9,22,71,11.2,20.3,5.3,11.5,1.51,0.43,4.71,Rotation
196,98,PG,Team_26,27,38,13.6,31.6,5.5,11.7,1.41,0.86,2.76,Rotation
185,124,SF,Team_24,22,54,5.5,32.4,0.8,2.0,0.81,2.24,0.83,Rotation
190,106,PG,Team_20,37,54,19.4,18.1,2.4,4.7,1.19,2.37,1.03,Rotation
207,118,PG,Team_29,23,69,8.6,23.7,4.5,10.7,2.86,2.92,3.45,Rotation
183,127,C,Team_6,36,62,12.8,31.3,2.8,3.0,1.24,0.83,0.04,Rotation
180,105,SG,Team_27,33,76,11.1,23.8,10.5,5.2,0.58,2.99,3.74,Rotation
190,92,SF,Team_21,38,18,29.3,8.5,10.8,5.5,0.12,2.52,4.83,Rotation
203,114,SG,Team_12,26,57,33.3,9.0,8.3,1.1,1.61,0.02,3.05,Rotation
177,85,PF,Team_4,20,25,11.3,14.7,11.4,3.0,2.01,2.24,3.72,Rotation
194,117,SG,Team_9,31,80,14.3,1.3,1.3,3.2,1.53,1.62,4.09,Bench
210,100,PG,Team_10,31,46,31.0,13.0,4.2,11.0,1.93,2.18,3.37,Rotation
193,103,PF,Team_3,32,13,28.8,5.0,11.8,4.3,1.06,0.78,2.66,Rotation
200,119,SG,Team_17,33,2,26.9,28.9,7.8,11.1,0.21,0.15,4.01,Rotation
177,70,SG,Team_29,39,68,26.9,27.4,11.5,7.7,1.26,2.52,0.98,Rotation
193,87,PG,Team_7,30,13,11.3,6.1,2.5,1.2,1.55,2.0,3.51,Bench
194,127,PF,Team_26,23,7,35.6,10.0,5.4,3.3,2.28,1.88,1.22,Rotation
206,109,PG,Team_8,21,14,30.7,19.9,3.1,0.7,2.77,1.65,4.39,Rotation
181,112,SG,Team_11,36,44,8.1,8.7,10.9,14.5,2.17,1.75,4.44,Bench
215,125,SF,Team_13,21,44,25.2,1.9,7.7,12.4,1.79,1.35,3.04,Rotation
207,125,SF,Team_3,32,2,5.9,26.8,8.2,4.0,0.46,1.88,2.6,Rotation
214,84,C,Team_19,20,10,22.0,3.2,7.2,5.3,0.04,0.92,2.14,Rotation
213,117,SF,Team_14,36,8,11.0,23.7,9.5,10.6,0.86,2.67,4.84,Rotation
192,118,PF,Team_22,31,3,4.0,5.2,6.1,6.8,0.46,2.64,0.14,Bench
214,86,C,Team_16,20,78,22.9,0.3,10.4,9.0,0.49,0.5,1.84,Rotation
175,113,PF,Team_15,30,49,33.6,19.7,0.5,0.4,2.61,0.85,1.03,Rotation
185,79,SF,Team_2,20,79,5.3,10.0,9.6,13.9,2.72,2.05,1.54,Bench
202,89,SF,Team_6,26,5,34.2,4.6,0.2,3.9,2.86,0.84,2.6,Rotation
199,75,SG,Team_21,23,43,4.9,24.0,4.0,9.8,0.26,0.24,3.59,Rotation
197,77,PF,Team_30,29,4,28.2,22.5,5.4,14.2,0.31,1.24,3.05,Rotation
205,114,PG,Team_7,31,56,37.6,14.4,6.6,9.9,0.75,0.13,3.95,Rotation
204,103,SG,Team_9,39,48,3.6,3.1,10.8,11.3,2.88,2.65,3.71,Bench
216,101,PF,Team_9,35,75,8.1,16.3,10.8,14.5,0.57,2.38,1.11,Rotation
209,120,C,Team_17,34,68,17.6,3.6,9.9,10.1,2.08,1.79,1.33,Bench
181,123,PF,Team_23,37,27,28.0,34.8,11.8,7.6,0.68,1.12,1.48,Rotation
190,111,C,Team_3,33,38,34.1,8.2,3.6,8.0,2.36,0.37,1.65,Rotation
200,73,C,Team_4,36,33,27.7,0.1,8.9,0.6,2.0,0.36,2.91,Rotation
176,113,SF,Team_2,24,61,29.3,7.7,0.8,1.2,1.67,1.71,4.68,Rotation
175,119,PG,Team_1,22,11,17.2,21.7,3.8,8.4,1.76,2.69,4.03,Rotation
186,108,PF,Team_10,22,68,13.5,34.2,3.9,8.0,2.94,0.43,2.91,Rotation
179,89,PG,Team_30,31,53,19.3,18.4,3.1,7.6,0.78,2.78,1.52,Rotation
211,93,C,Team_3,27,79,24.7,15.6,11.7,2.1,1.63,2.74,0.39,Rotation
206,93,SF,Team_10,28,72,19.1,34.7,11.3,13.9,1.7,2.68,3.46,Rotation
183,124,PG,Team_9,32,36,30.0,5.8,4.7,13.6,0.43,0.68,0.23,Rotation
215,95,SG,Team_17,26,32,6.0,6.9,4.5,4.5,0.57,2.74,0.52,Bench
209,94,C,Team_15,21,48,15.1,13.3,5.8,6.0,1.91,1.44,4.62,Rotation
193,105,SG,Team_3,27,0,2.5,26.2,5.1,5.8,1.24,1.29,1.01,Rotation
190,76,PG,Team_27,19,46,25.5,10.6,3.6,3.4,2.94,1.88,3.68,Rotation
177,79,PG,Team_21,33,36,28.8,16.4,3.2,5.0,0.64,2.8,2.23,Rotation
194,127,PG,Team_3,33,8,25.4,32.9,11.2,14.9,1.37,1.41,2.13,Rotation
198,116,PF,Team_4,25,17,36.3,30.5,2.4,8.6,0.23,2.99,0.44,Starter
207,81,C,Team_4,33,43,35.4,33.1,4.8,13.5,0.37,0.24,2.9,Starter
198,70,C,Team_17,25,77,10.3,5.8,8.3,11.0,1.58,1.83,4.06,Bench
185,121,C,Team_6,31,69,9.2,16.9,11.7,13.2,1.5,2.86,2.4,Rotation
182,119,PF,Team_11,30,62,1.0,25.0,8.5,5.5,2.29,2.41,2.63,Rotation
210,94,PG,Team_12,36,2,19.1,25.7,6.5,9.6,0.71,0.76,2.6,Rotation
212,85,PG,Team_23,25,17,32.7,19.3,5.6,5.6,0.2,1.3,0.68,Rotation
214,74,SG,Team_28,25,36,6.0,28.7,7.7,12.3,0.72,0.23,0.73,Rotation
194,88,PF,Team_7,33,19,22.5,1.5,8.2,11.5,2.04,2.93,2.29,Rotation
209,73,SF,Team_13,27,35,27.4,6.9,11.9,11.7,2.08,1.95,3.56,Rotation
199,75,PF,Team_6,24,79,14.0,11.5,4.2,2.9,1.11,1.43,3.14,Rotation
209,95,SG,Team_23,27,3,26.7,25.5,2.5,12.9,1.4,0.11,1.78,Rotation
